2021/8/31 下午 01:07:44	此記錄檔包含有關使用者 'JoJo' 在電腦 'CM-2016101101' 上將結構描述匯入專案 'Database' 之作業的資訊。
2021/8/31 下午 01:07:45	資料庫結構描述匯入已啟動。
2021/8/31 下午 01:07:49	正在蒐集資料庫選項
2021/8/31 下午 01:07:49	正在蒐集使用者
2021/8/31 下午 01:07:49	正在蒐集角色
2021/8/31 下午 01:07:49	正在蒐集應用程式角色
2021/8/31 下午 01:07:49	正在蒐集角色成員資格
2021/8/31 下午 01:07:49	正在蒐集檔案群組
2021/8/31 下午 01:07:49	正在蒐集全文檢索目錄
2021/8/31 下午 01:07:49	正在蒐集組件
2021/8/31 下午 01:07:49	正在蒐集憑證
2021/8/31 下午 01:07:49	正在蒐集非對稱金鑰
2021/8/31 下午 01:07:49	正在蒐集對稱金鑰
2021/8/31 下午 01:07:49	正在蒐集加密的對稱金鑰
2021/8/31 下午 01:07:49	正在蒐集結構描述
2021/8/31 下午 01:07:49	正在蒐集 XML 結構描述集合
2021/8/31 下午 01:07:49	正在蒐集使用者定義資料型別
2021/8/31 下午 01:07:49	正在蒐集使用者定義型別
2021/8/31 下午 01:07:49	正在蒐集資料表類型
2021/8/31 下午 01:07:49	正在蒐集資料表類型的唯一索引鍵
2021/8/31 下午 01:07:49	正在蒐集資料表類型的主索引鍵
2021/8/31 下午 01:07:49	正在蒐集資料表類型的檢查條件約束
2021/8/31 下午 01:07:49	正在蒐集資料表類型的預設條件約束
2021/8/31 下午 01:07:49	正在蒐集資料分割函式
2021/8/31 下午 01:07:49	正在蒐集資料分割配置
2021/8/31 下午 01:07:49	正在蒐集函式
2021/8/31 下午 01:07:49	正在蒐集加密的函式
2021/8/31 下午 01:07:49	正在蒐集彙總
2021/8/31 下午 01:07:49	正在蒐集程序
2021/8/31 下午 01:07:49	正在蒐集加密的程序
2021/8/31 下午 01:07:49	正在蒐集資料表
2021/8/31 下午 01:07:49	正在蒐集主索引鍵
2021/8/31 下午 01:07:49	正在蒐集唯一的條件約束
2021/8/31 下午 01:07:49	正在蒐集外部索引鍵
2021/8/31 下午 01:07:49	正在蒐集預設條件約束
2021/8/31 下午 01:07:49	正在蒐集檢查條件約束
2021/8/31 下午 01:07:49	正在蒐集檢視
2021/8/31 下午 01:07:49	正在蒐集加密的檢視表
2021/8/31 下午 01:07:49	正在蒐集索引
2021/8/31 下午 01:07:49	正在蒐集統計資料
2021/8/31 下午 01:07:49	正在蒐集全文檢索索引停用字詞表
2021/8/31 下午 01:07:49	正在蒐集全文檢索索引
2021/8/31 下午 01:07:49	正在蒐集空間索引
2021/8/31 下午 01:07:49	正在蒐集 XML 索引
2021/8/31 下午 01:07:49	正在蒐集加密的觸發程序
2021/8/31 下午 01:07:49	正在蒐集觸發程序
2021/8/31 下午 01:07:49	正在蒐集加密的和 CLR DDL 觸發程序
2021/8/31 下午 01:07:49	正在蒐集 DDL 觸發程序
2021/8/31 下午 01:07:49	正在蒐集同義資料表
2021/8/31 下午 01:07:49	正在蒐集預設值
2021/8/31 下午 01:07:49	正在蒐集資料條件約束 UDDT 繫結
2021/8/31 下午 01:07:49	正在蒐集規則
2021/8/31 下午 01:07:49	正在蒐集資料條件約束 UDDT 繫結
2021/8/31 下午 01:07:49	正在蒐集訊息類型
2021/8/31 下午 01:07:49	正在蒐集佇列
2021/8/31 下午 01:07:49	正在蒐集合約
2021/8/31 下午 01:07:49	正在蒐集服務
2021/8/31 下午 01:07:49	正在蒐集事件告知
2021/8/31 下午 01:07:49	正在蒐集遠端服務繫結
2021/8/31 下午 01:07:49	正在蒐集 Broker 優先權
2021/8/31 下午 01:07:49	正在蒐集簽章
2021/8/31 下午 01:07:49	正在蒐集資料壓縮選項
2021/8/31 下午 01:07:49	正在蒐集擴充屬性
2021/8/31 下午 01:07:49	正在蒐集認證
2021/8/31 下午 01:07:49	正在蒐集登入
2021/8/31 下午 01:07:49	正在蒐集伺服器稽核
2021/8/31 下午 01:07:50	正在掃描專案的重複項目
2021/8/31 下午 01:07:50	完成複製項目處理
2021/8/31 下午 01:07:51	完成匯入資料庫。
2021/8/31 下午 01:07:51	匯入的摘要已儲存到下列位置: C:\Users\user1\Desktop\新增資料夾\SunriseSunsetDataProvider\Database\匯入結構描述記錄\Database_20210831050744.log
2021/8/31 下午 01:07:51	按 [完成] 繼續進行...
